episode,score,average_100
251,140.9113783458342,37.44973965180395
252,17.54897874571472,36.56292936955593
253,251.53289654763847,39.594477297115375
254,191.51675075989405,41.39501960564085
255,16.37744790455659,41.13502630906917
256,-2.131060068831032,41.84885514659223
257,136.35940118490672,41.97052283246549
258,155.94488007356082,43.642646383862804
259,-209.73233246848892,41.35452099702805
260,286.72953158729774,45.04222199076146
261,162.05974479982837,45.564768903397365
262,257.96678722131855,47.81817849431745
263,82.54244868132372,49.201898991556554
264,127.54147408030164,50.35522084236677
265,-298.1149872534285,46.35462272027195
266,234.69336408295575,47.57743035287676
267,-12.772208027422664,47.55378940418044
268,116.27270698704551,49.2619208239681
269,88.65894754416647,50.494138512745934
270,116.62423673090517,52.24781252212103
271,122.933464811507,53.73992685134535
272,270.04395085682313,56.3407410625708
273,58.49202234660362,56.802096693829725
274,70.690264119763,57.595929072609636
275,100.29398659292023,58.514662402616686
276,249.25615044860734,61.20476161982364
277,267.3333332766316,64.00715462503014
278,17.70476887815211,64.16569279818644
279,283.20403694461027,67.1477498414706
280,112.91805369877184,68.19638493572523
281,245.4654209100764,70.08184886040182
282,263.6084519435268,71.02057398577372
283,130.30754055724415,72.29075252954146
284,13.59036440037761,72.04797834026839
285,232.14582956251436,75.3603576915863
286,-22.390173206924615,73.7253047175907
287,8.709033048097709,73.32381357560932
288,103.32247318951582,74.3933916815645
289,81.2944439220905,73.83184305601608
290,263.6354198308561,77.1287543722504
291,-68.05052905075317,76.42496622817451
292,140.39523434325946,76.66815291718682
293,-81.03946937396611,74.86535538440938
294,306.8729502702819,76.87735790972907
295,242.24361806862825,77.38299120441937
296,267.8804957368129,80.62016459621131
297,81.95962412968622,81.48864155943126
298,-20.761058184366263,81.1081131339269
299,247.30737082896627,83.79649371758985
300,271.13537919621774,86.17096343271609
301,86.12114017842867,86.48035197078272
302,120.74057338444506,87.71626386759468
303,252.6965080998295,89.17943972373295
304,194.30961770340303,89.78717688085244
305,245.62549598070558,91.23461850453641
306,277.26486727480034,93.59199127290243
307,102.42378822469873,95.37014146949463
308,125.28205990396336,97.0885884911506
309,32.608070853053505,95.9682407858619
310,117.86580435870204,99.00376090346391
311,115.03907874551268,97.80140866739438
312,130.62391712489597,100.5639837328716
313,-268.57947566116354,97.25157353406148
314,93.8293183337224,97.13245633196183
315,221.45602777479482,98.69529298442453
316,244.44544072675117,100.66907573944654
317,91.73178199648466,101.42663759828407
318,217.7850952547704,103.52969255457509
319,217.12938705240958,106.02697036564618
320,243.16413847080372,106.02514942094078
321,279.6741045784004,109.5018757833311
322,301.3646347248242,110.85329030577932
323,34.38347937853962,111.0664022903027
324,6.575978514314954,110.43489482510131
325,113.47437191436293,110.26526184148703
326,257.8188999993622,112.67713460558357
327,144.6668675150291,113.02659225061561
328,132.11913571731628,113.96788715874726
329,112.65431754220363,115.28221472648357
330,160.57231849970813,118.51031704214574
331,194.52892674793537,119.68489824022645
332,244.0065345097016,120.73549597003066
333,241.12104279008273,123.27153989625242
334,226.6920583159467,124.4213478624464
335,226.5808084674418,125.58784024248193
336,101.42462758538142,127.1445945222524
337,236.69370364227902,129.58391662250787
338,308.6995060019299,132.25761821126443
339,-43.626304331907974,132.03540898897126
340,226.51354248909843,134.32001928707442
341,231.11045435855257,134.1378984966235
342,218.74312993389265,136.02010857587786
343,233.7383260043768,137.45448897939508
344,97.76300360879442,138.77468734271224
345,271.6387438913848,139.1692088967696
346,269.36316084752934,141.63290870750436
347,238.60882303458476,143.84825788318128
348,228.25797889638326,145.43556394898957
349,236.25920256836798,147.094434264504
350,236.50558987571776,147.50522442958155
351,187.38862200344167,147.96999686615763
352,134.296518104959,149.1374722597501
353,221.50048460565978,148.8371481403303
354,263.5154279724668,149.55713491245604
355,-185.9914502591895,147.53344593081854
356,222.41527783435828,149.77890930985046
357,204.896236790449,150.46427766590588
358,122.05503063116015,150.12537917148188
359,279.107818075658,155.01378067692335
360,234.05764347228074,154.48706179577317
361,231.04748915560327,155.17693923933092
362,65.83860747284359,153.25565744184618
363,97.3852538199071,153.404085493232
364,234.14437596184467,154.47011451204745
365,62.55040493705414,158.07676843395222
366,204.95076327846743,157.77934242590737
367,241.83600971807317,160.32542460336236
368,234.77578015440685,161.51045533503594
369,253.69723712560872,163.16083823085037
370,256.30262137609157,164.55762207730223
371,263.97750185738164,165.96806244776096
372,249.37937579909047,165.76141669718368
373,-31.88259683872478,164.85767050533036
374,101.8309888970378,165.16907775310312
375,256.006115903869,166.7261990462126
376,104.88979277240425,165.28253546945055
377,-159.57185586467637,161.0134835780375
378,78.16094749844254,161.61804536424043
379,-18.02465879978778,158.60575840679644
380,242.11085791516265,159.89768644896034
381,197.25265955460074,159.4155588354056
382,82.37483399348855,157.6032226559052
383,228.4975935631316,158.58512318596408
384,243.94777684885665,160.88869731044883
385,266.35505667041565,161.23078958152786
386,227.70193462690563,163.7317106598662
387,260.01347562940396,166.24475508567923
388,130.26204858532526,166.51415083963732
389,227.47464886819424,167.9759528890984
390,211.58039071375228,167.45540259792736
391,242.59378369025694,170.56184572533743
392,214.1728582526527,171.29962196443137
393,173.5693112986873,173.84570977115789
394,-251.541968746557,168.2615605809895
395,255.8768927530615,168.3978933278338
396,227.910237289265,167.99819074335835
397,248.80872996409835,169.66668180170248
398,165.78423627590178,171.53213474630516
399,234.65333656565136,171.40559440367196
400,242.38971194874796,171.11813773119727
401,256.8911047125829,172.82583737653883
402,250.95612595386783,174.1279929022331
403,224.54619018702076,173.846489723105
404,182.31332198417658,173.72652676591275
405,237.19315233302729,173.64220332943594
406,103.1336101862176,171.90089075855013
407,256.46220271011157,173.44127490340423
408,252.53438207741965,174.7137981251388
409,237.05271924040164,176.75824460901228
410,240.96800433575328,177.98926660878277
411,248.15879893472496,179.3204638106749
412,205.47687029665832,180.06899334239253
413,213.67699660349987,184.89155806503916
414,167.75995081132407,185.63086438981517
415,193.75596893624805,185.35386380142972
416,269.83205264409753,185.6077299206032
417,270.51698555428374,187.39558195618122
418,244.68855314806117,187.66461653511413
419,243.95247023468266,187.93284736693684
420,193.2585407633977,187.4337913898628
421,196.26934712121925,186.59974381529094
422,255.9942595357102,186.14604006339977
423,220.62243434987022,188.00842961311307
424,248.8301522823863,190.4309713507938
425,227.53023152025537,191.57152994685276
426,169.61135531184837,190.68945449997761
427,268.34924660452015,191.92627829087255
428,279.56174194474136,193.4007043531468
429,151.62785544531454,193.79043973217784
430,225.7373107012504,194.4420896541933
431,61.64986495769482,193.11329903629084
432,281.38348187028504,193.48706850989672
433,260.98472193279065,193.68570530132376
434,226.43448686839207,193.68312958684822
435,212.89373921558513,193.54625889432967
436,265.01056726368284,195.1821182911127
437,95.82136839472851,193.7733949386372
438,208.43742514634562,192.77077413008135
439,222.37928521573315,195.43083002555778
440,255.5087677786055,195.72078227845287
441,239.54495402594708,195.8051272751268
442,267.43822717715966,196.29207824755952
443,254.19604399966013,196.49665542751234
444,201.98363777267335,197.53886176915114
445,232.53635872559556,197.14783791749323
446,265.00566841288276,197.10426299314676
447,219.70270182724838,196.91520178107342
448,214.88398885653973,196.78146188067495
449,167.5152355759121,196.09402221075038
450,226.72505427624196,195.99621685475557
451,233.5912734292056,196.45824336901325
452,235.1164472653601,197.46644266061733
453,244.49813787766232,197.6964191933373
454,179.55342642323365,196.85679917784498
455,266.8735978834648,201.3854496592715
